,CIDADE,QUANTIDADE,FORMATO
4,Fontana,24.0,Triangle
15,Santa Monica & Brentwood,1.0,Light
17,Garden Grove,30.0,Rectangle
26,Carlsbad,39.0,Light
28,Milford,2.0,Disk
34,Daggett,1.0,Rectangle
48,El Centro,14.0,Oval
57,Los Angeles (Eagle Rock),1.0,Disk
78,Los Osos,4.0,Sphere
81,San Diego,277.0,Circle
83,Goleta,16.0,Circle
85,Beal AFB,1.0,Disk
91,Richmond,12.0,Disk
97,Soquel,4.0,Other
98,Northern California,1.0,Light
114,Los Angeles,254.0,Unknown
132,Montebello,9.0,Light
136,Salinas,24.0,Fireball
140,Rancho Tehama,1.0,Disk
144,Valencia,8.0,Triangle
151,Los Angeles,254.0,Disk
176,Lockwood,1.0,Cigar
178,Roseville,38.0,Circle
181,Pebble Beach,3.0,Unknown
182,Santa Rosa,67.0,Disk
185,Crestline (Silverwood Lake),1.0,Triangle
187,Tracy (near; on I-5; close to Gilroy),1.0,Circle
193,Lake Alpine,2.0,Sphere
195,Modesto,68.0,Triangle
226,Sacramento,177.0,Triangle
233,San Francisco,125.0,Sphere
248,Carmel,5.0,Circle
263,Palm Springs,36.0,Circle
265,Sacramento,177.0,Other
268,Compton,6.0,Egg
282,Bakersfield,63.0,Circle
292,Shingletown,1.0,Circle
306,Sacramento,177.0,Unknown
313,Ventura,47.0,Unknown
316,Gonzales,2.0,Changing
319,Los Osos,4.0,Cylinder
325,Rowland Heights,3.0,Light
335,Coalinga,9.0,Triangle
336,Bay Point/ Pittsburg,1.0,Other
345,San Jose,160.0,Unknown
352,San Diego,277.0,Circle
353,Grapevine,3.0,Light
354,Ivanhoe,1.0,Light
370,San Jose,160.0,Disk
404,Lancaster,30.0,Triangle
409,Anaheim,62.0,Fireball
415,San Francisco,125.0,Light
417,San Mateo,11.0,Disk
419,Torrance,33.0,Triangle
425,Lake Shasta,2.0,Light
433,Orland,13.0,Triangle
447,Clovis,29.0,Light
461,Elk Grove,33.0,Other
476,Palm Springs (outside of),1.0,Triangle
486,Perris,11.0,Circle
488,Del Mar (Rancho Sante Fe),1.0,Formation
495,Anderson,12.0,Cigar
496,Los Angeles,254.0,Triangle
505,Hollister,22.0,Circle
518,Salida,2.0,Triangle
536,San Francisco,125.0,Formation
537,San Pedro,21.0,Oval
539,Joshua Tree National Park,3.0,Oval
547,Lake City,1.0,Light
550,Los Angeles,254.0,Triangle
563,Stockton,37.0,Disk
571,Santa Rosa,67.0,Sphere
574,Yorba Linda,12.0,Other
581,Fresno,96.0,Triangle
583,Campo,1.0,Changing
584,Los Angeles,254.0,Triangle
586,Canoga Park,12.0,Sphere
589,San Jose,160.0,Oval
590,San Francisco,125.0,Light
615,Whittier,29.0,Light
620,Madera,18.0,Light
627,Roseville,38.0,Triangle
644,Oceanside,32.0,Light
646,Sacramento,177.0,Circle
651,Rio Dell,2.0,
660,San Jose,160.0,Disk
664,Redding,46.0,Light
695,Phelan,6.0,Fireball
696,Santa Cruz,35.0,Disk
704,Garden Grove,30.0,Rectangle
712,Santa Rosa,67.0,Other
719,Cutler,2.0,Circle
725,Lancaster,30.0,
727,Coulterville,1.0,Fireball
728,Various,1.0,Sphere
746,Warner Springs,3.0,Cylinder
748,Wilmington,7.0,Fireball
751,Joshua Tree,9.0,Light
754,Spring Valley,13.0,Sphere
756,San Jose,160.0,Diamond
774,Hanford,7.0,Disk
784,Arroyo Grande,7.0,Sphere
794,Big Sur,6.0,Fireball
795,Sacramento,177.0,Disk
797,Los Angeles,254.0,Circle
812,San Diego,277.0,Unknown
819,Glendora,10.0,Disk
821,Glendora,10.0,Disk
822,Monterey,25.0,Changing
862,Santa Monica Mountains,1.0,
864,Ceres,5.0,Rectangle
871,Avila Beach (Diablo Canyon Nucular power Plant),1.0,Cigar
877,Clear Lake,1.0,Cigar
878,Rialto,13.0,Circle
881,Lakeside,17.0,Triangle
907,Thousand Palms,1.0,Other
910,Lakeside,17.0,Triangle
939,Bakersfield,63.0,Circle
940,Hayward/Castro Valley,1.0,Diamond
947,Dorrington,1.0,Light
961,Hercules,3.0,Cigar
979,Concord,15.0,Other
980,San Diego,277.0,Rectangle
985,Whittier,29.0,Unknown
987,Camarillo,10.0,Other
1012,Burbank,48.0,Oval
1016,San Luis Obisbo,1.0,Unknown
1037,Fullerton,25.0,Triangle
1046,Santa Ana,35.0,Other
1051,San Jose,160.0,Other
1064,Eldridge,1.0,Fireball
1069,Desert Center (near),1.0,Unknown
1087,Palm Springs,36.0,Sphere
1088,Palm Springs,36.0,Circle
1094,San Bernardino,41.0,Disk
1100,Los Angeles,254.0,Fireball
1116,Lakewood,15.0,Rectangle
1126,Camarillo,10.0,Circle
1132,Fountain Valley (2hrs N of; on I-5 S),1.0,Light
1142,Santa Maria,20.0,Triangle
1145,Inglewood,4.0,Disk
1152,Bellflower,4.0,Fireball
1153,Lakewood,15.0,Sphere
1157,Los Angeles,254.0,Light
1180,Carlsbad,39.0,Fireball
1187,Woodland Hills,15.0,Circle
1196,Philippine Sea/Pacific Ocean,1.0,Light
1214,San Diego,277.0,Unknown
1251,San Bernardino,41.0,Other
1262,Burlingame,2.0,Oval
1264,Norwalk,21.0,
1281,Santa Clara,17.0,Teardrop
1289,Riverside,68.0,Sphere
1292,Middletown,2.0,Unknown
1293,Antioch,38.0,Other
1295,Agoura Hills,5.0,Disk
1297,San Jose,160.0,Sphere
1300,Joshua Tree National Monument,1.0,Formation
1309,Roseville,38.0,Circle
1314,Riverside,68.0,Light
1318,San Diego,277.0,Sphere
1322,Chico,31.0,Other
1326,Palm Desert,27.0,Cross
1328,"San Elijo Hills (near it, on a hill top)",1.0,Sphere
1330,Pomona,27.0,Circle
1353,Edwards AFB,2.0,Circle
1362,Pacific Grove,7.0,Other
1372,Pillar Point Air Base,1.0,Triangle
1373,Los Angeles,254.0,Light
1409,San Francisco,125.0,Fireball
1411,Santa Rosa / Novato,1.0,Oval
1421,Desert,1.0,Triangle
1422,Murrieta,23.0,Triangle
1435,National Park,1.0,Light
1454,Saugus,7.0,Flash
1457,Calexico,3.0,Triangle
1461,Fresno,96.0,Rectangle
1466,Eureka,19.0,Unknown
1473,Pacific Ocean (San Diego; 40 miles from),1.0,Other
1488,Sausalito,4.0,Disk
1498,San Jose,160.0,Fireball
1505,La Jolla,15.0,Light
1515,Riverside,68.0,Other
1530,Kelseyville,6.0,Disk
1536,California,1.0,Circle
1545,Mecca,2.0,Unknown
1554,Hollywood,15.0,
1555,Lake Forest,11.0,Light
1564,Pomona,27.0,Oval
1565,Clovis,29.0,Circle
1575,Barstow,10.0,Disk
1588,Palmdale,34.0,Sphere
1606,Laguna Woods,5.0,Circle
1611,Healdsburg,7.0,Triangle
1626,Palm Springs,36.0,Other
1634,Paincines (Pinnacle Rocks in Pinnacles National Monument),3.0,Changing
1650,Valley Springs,5.0,Sphere
1659,Barstow,10.0,Circle
1669,Pinnacles National Monument,1.0,Triangle
1670,unknown,2.0,Disk
1680,Concord,15.0,Triangle
1688,Temecula,48.0,Light
1701,Carmichael,12.0,Other
1711,Altadena,3.0,Light
1713,San Diego,277.0,Sphere
1734,Lompoc,7.0,Other
1745,San Diego,277.0,Other
1748,San Diego,277.0,Light
1792,Fresno (near),1.0,Cigar
1800,Vallejo,18.0,Unknown
1804,Edwards AFB,2.0,Triangle
1832,Earp,3.0,Unknown
1853,Santa Barbara,54.0,Triangle
1854,Lee Vining,2.0,Light
1865,Palo Alto/San Francisco,1.0,
1877,Fremont,27.0,Light
1921,Bakersfield,63.0,Sphere
1928,Willow Creek,1.0,Light
1957,Mammoth Lakes (near ),1.0,Formation
1960,San Bernardino,41.0,Light
1961,Atascadero,6.0,Cigar
1967,Woodland Hills,15.0,Sphere
1972,Union City,8.0,Triangle
1976,Lake Elsinore,23.0,Light
1977,"Furnace Creek, ca (death valley)",1.0,Light
1982,Burlingame,2.0,Cigar
1993,Patterson,9.0,Changing
1994,Los Angeles,254.0,Light
2001,Redding,46.0,Fireball
2005,American Canyon,4.0,Cylinder
2011,San Francisco (50 miles south of),1.0,Sphere
2012,Bakersfield,63.0,Changing
2016,Devore,2.0,Oval
2019,Desert Hot Springs,11.0,Chevron
2020,North Hills,2.0,Egg
2030,Roseville,38.0,Other
2034,San Francisco,125.0,Sphere
2049,Jackson,3.0,Circle
2060,Los Angeles,254.0,Unknown
2070,Los Angeles,254.0,Triangle
2076,Santa Maria,20.0,Rectangle
2099,San Diego,277.0,Fireball
2103,Fallbrook,11.0,Light
2104,Pismo Beach,4.0,Light
2112,Norwalk,21.0,Light
2113,Whittier,29.0,Fireball
2120,Anza Borrego State Park,1.0,Triangle
2142,Crockett,1.0,Other
2146,Eureka,19.0,Sphere
