zip_code,city,state,lat,long
00501,Holtsville,NY,40.8179,-73.0453
00601,Adjuntas,PR,18.1967,-66.7367
00602,Aguada,PR,18.3529,-67.1775
00603,Aguadilla,PR,18.4586,-67.1299
00606,Maricao,PR,18.1667,-66.9392
00610,Anasco,PR,18.2946,-67.1300
00611,Angeles,PR,18.2856,-66.9698
00612,Arecibo,PR,18.3880,-66.6653
00616,Bajadero,PR,18.4055,-66.6712
00617,Barceloneta,PR,18.4298,-66.5581
00622,Boqueron,PR,17.9929,-67.1537
00623,Cabo Rojo,PR,18.0402,-67.1466
00624,Penuelas,PR,18.0728,-66.7248
00627,Camuy,PR,18.4252,-66.8678
00631,Castaner,PR,18.2246,-66.8678
00636,Rosario,PR,18.1647,-67.0797
00637,Sabana Grande,PR,18.0776,-66.9392
00638,Ciales,PR,18.2997,-66.4986
00641,Utuado,PR,18.2797,-66.6891
00646,Dorado,PR,18.4591,-66.2724
00647,Ensenada,PR,17.9725,-66.9452
00650,Florida,PR,18.3630,-66.5581
00652,Garrochales,PR,18.4519,-66.5998
00653,Guanica,PR,17.9825,-66.8916
00656,Guayanilla,PR,18.0373,-66.7963
00659,Hatillo,PR,18.4160,-66.7963
00660,Hormigueros,PR,18.1382,-67.1120
00662,Isabela,PR,18.4561,-67.0226
00664,Jayuya,PR,18.2103,-66.5819
00667,Lajas,PR,18.0100,-67.0226
00669,Lares,PR,18.2914,-66.8678
00670,Las Marias,PR,18.2396,-66.9869
00674,Manati,PR,18.4332,-66.4986
00676,Moca,PR,18.3856,-67.0822
00677,Rincon,PR,18.3317,-67.2312
00678,Quebradillas,PR,18.4313,-66.9154
00680,Mayaguez,PR,18.2100,-67.1060
00683,San German,PR,18.0992,-67.0226
00685,San Sebastian,PR,18.3162,-66.9750
00687,Morovis,PR,18.3222,-66.4152
00688,Sabana Hoyos,PR,18.3500,-66.6296
00690,San Antonio,PR,18.5019,-67.0971
00692,Vega Alta,PR,18.4018,-66.3438
00693,Vega Baja,PR,18.4207,-66.4033
00698,Yauco,PR,18.0909,-66.8678
00703,Aguas Buenas,PR,18.2626,-66.1296
00704,Aguirre,PR,17.9802,-66.2189
00705,Aibonito,PR,18.1354,-66.2605
00707,Maunabo,PR,18.0127,-65.9155
00714,Arroyo,PR,17.9871,-66.0582
00715,Mercedita,PR,18.0071,-66.5581
00716,Ponce,PR,17.9877,-66.6236
00718,Naguabo,PR,18.2501,-65.7847
00719,Naranjito,PR,18.2782,-66.2486
00720,Orocovis,PR,18.2045,-66.4510
00721,Palmer,PR,18.3018,-66.0800
00723,Patillas,PR,18.0252,-66.0107
00725,Caguas,PR,18.2056,-66.0345
00729,Canovanas,PR,18.3419,-65.8917
00735,Ceiba,PR,18.2436,-65.6540
00736,Cayey,PR,18.0786,-66.1653
00738,Fajardo,PR,18.3100,-65.6540
00739,Cidra,PR,18.1769,-66.1534
00740,Puerto Real,PR,18.3384,-65.6338
00741,Punta Santiago,PR,18.1646,-65.7669
00742,Roosevelt Roads,PR,18.2666,-65.6482
00744,Rio Blanco,PR,18.2202,-65.7902
00745,Rio Grande,PR,18.3451,-65.8323
00751,Salinas,PR,18.0022,-66.2605
00754,San Lorenzo,PR,18.1424,-65.9750
00757,Santa Isabel,PR,17.9858,-66.3914
00765,Vieques,PR,18.1263,-65.4401
00766,Villalba,PR,18.1300,-66.4743
00767,Yabucoa,PR,18.0688,-65.9031
00769,Coamo,PR,18.0960,-66.3510
00771,Las Piedras,PR,18.1964,-65.8720
00772,Loiza,PR,18.4194,-65.9109
00773,Luquillo,PR,18.3388,-65.7201
00775,Culebra,PR,18.3137,-65.2942
00777,Juncos,PR,18.2065,-65.9017
00778,Gurabo,PR,18.2589,-65.9746
00780,Coto Laurel,PR,18.0711,-66.5629
00782,Comerio,PR,18.2250,-66.2198
00783,Corozal,PR,18.3046,-66.3305
00784,Guayama,PR,18.0180,-66.1333
00786,La Plata,PR,18.1564,-66.2336
00791,Humacao,PR,18.1380,-65.8190
00794,Barranquitas,PR,18.2008,-66.3070
00795,Juana Diaz,PR,18.0173,-66.4933
00801,St Thomas,VI,18.3436,-64.9314
00820,Christiansted,VI,17.7454,-64.7034
00830,St John,VI,18.3282,-64.7407
00840,Frederiksted,VI,17.7124,-64.8822
00850,Kingshill,VI,17.7230,-64.7830
00901,San Juan,PR,18.4654,-66.1044
